name,party,party_id,startDate,endDate
ישראל רוקח,,,1951-08-20T00:00:00,1955-08-15T00:00:00
ישראל רוקח,,,1955-08-15T00:00:00,1959-09-13T00:00:00
נחמן רז,,,1983-03-22T00:00:00,1984-08-13T00:00:00
נחמן רז,,,1984-08-13T00:00:00,1988-11-21T00:00:00
אסתר רזיאל-נאור,,,1949-02-14T00:00:00,1951-08-20T00:00:00
אסתר רזיאל-נאור,,,1951-08-20T00:00:00,1955-08-15T00:00:00
אסתר רזיאל-נאור,,,1955-08-15T00:00:00,1959-11-30T00:00:00
אסתר רזיאל-נאור,,,1959-11-30T00:00:00,1961-09-04T00:00:00
אסתר רזיאל-נאור,,,1961-09-04T00:00:00,1965-11-22T00:00:00
אסתר רזיאל-נאור,,,1965-11-22T00:00:00,1969-11-17T00:00:00
אסתר רזיאל-נאור,,,1969-11-17T00:00:00,1974-01-21T00:00:00
מיכאל רייסר,,,1981-07-20T00:00:00,1984-08-13T00:00:00
מיכאל רייסר,,,1984-08-13T00:00:00,1988-10-27T00:00:00
אלימלך-שמעון רימלט,,,1951-08-20T00:00:00,1955-08-15T00:00:00
אלימלך-שמעון רימלט,,,1955-08-15T00:00:00,1959-11-30T00:00:00
אלימלך-שמעון רימלט,,,1959-11-30T00:00:00,1961-09-04T00:00:00
אלימלך-שמעון רימלט,,,1961-09-04T00:00:00,1965-11-22T00:00:00
אלימלך-שמעון רימלט,,,1965-11-22T00:00:00,1969-11-17T00:00:00
אלימלך-שמעון רימלט,,,1969-11-17T00:00:00,1974-01-21T00:00:00
אלימלך-שמעון רימלט,,,1974-01-21T00:00:00,1977-06-13T00:00:00
יעקב ריפתין,,,1949-02-14T00:00:00,1951-08-20T00:00:00
יעקב ריפתין,,,1951-08-20T00:00:00,1955-08-15T00:00:00
יעקב ריפתין,,,1955-08-15T00:00:00,1959-11-30T00:00:00
יעקב ריפתין,,,1959-11-30T00:00:00,1961-09-04T00:00:00
יעקב ריפתין,,,1961-09-04T00:00:00,1965-11-22T00:00:00
אהרן רמז,,,1955-08-15T00:00:00,1957-12-19T00:00:00
דוד רמז,,,1948-05-04T00:00:00,1949-02-14T00:00:00
דוד רמז,,,1949-02-14T00:00:00,1951-05-19T00:00:00
צבי רנר,,,1981-07-20T00:00:00,1984-08-13T00:00:00
יצחק רפאל,,,1951-08-20T00:00:00,1955-08-15T00:00:00
יצחק רפאל,,,1955-08-15T00:00:00,1959-11-30T00:00:00
יצחק רפאל,,,1959-11-30T00:00:00,1961-09-04T00:00:00
יצחק רפאל,,,1961-09-04T00:00:00,1965-11-22T00:00:00
יצחק רפאל,,,1965-11-22T00:00:00,1969-11-17T00:00:00
יצחק רפאל,,,1969-11-17T00:00:00,1974-01-21T00:00:00
יצחק רפאל,,,1974-01-21T00:00:00,1977-06-13T00:00:00
ברל רפטור,,,1948-05-04T00:00:00,1949-02-14T00:00:00
ברל רפטור,,,1949-02-14T00:00:00,1951-08-20T00:00:00
מנחם רצון,,,1951-04-10T00:00:00,1951-08-20T00:00:00
אברהם רקנטי,,,1949-02-14T00:00:00,1951-08-20T00:00:00
אברהם חיים שאג,,,1949-02-14T00:00:00,1951-08-20T00:00:00
אבנר-חי שאקי,,,1970-07-16T00:00:00,1974-01-21T00:00:00
אבנר-חי שאקי,,,1984-08-13T00:00:00,1988-11-21T00:00:00
אבנר-חי שאקי,,,1988-11-21T00:00:00,1992-07-13T00:00:00
אבנר-חי שאקי,,,1992-07-13T00:00:00,1996-06-17T00:00:00
אבנר-חי שאקי,,,1996-06-17T00:00:00,1999-06-07T00:00:00
שלום אברהם שאקי,,,1962-11-08T00:00:00,1965-11-22T00:00:00
גונן שגב,,,1992-07-13T00:00:00,1996-06-17T00:00:00
גדעון שגיא,,,1992-07-13T00:00:00,1996-06-17T00:00:00
יהושע שגיא,,,1988-11-21T00:00:00,1992-07-13T00:00:00
זלמן שובל,,,1970-05-27T00:00:00,1974-01-21T00:00:00
זלמן שובל,,,1974-01-21T00:00:00,1977-06-13T00:00:00
זלמן שובל,,,1988-11-21T00:00:00,1990-10-08T00:00:00
פנחס שומר,,,1996-06-07T00:00:00,1996-06-17T00:00:00
אליעזר שוסטק,,,1951-11-02T00:00:00,1955-08-15T00:00:00
אליעזר שוסטק,,,1955-08-15T00:00:00,1959-11-30T00:00:00
אליעזר שוסטק,,,1959-11-30T00:00:00,1961-09-04T00:00:00
אליעזר שוסטק,,,1961-09-04T00:00:00,1965-11-22T00:00:00
אליעזר שוסטק,,,1965-11-22T00:00:00,1969-11-17T00:00:00
אליעזר שוסטק,,,1969-11-17T00:00:00,1974-01-21T00:00:00
אליעזר שוסטק,,,1974-01-21T00:00:00,1977-06-13T00:00:00
אליעזר שוסטק,,,1981-07-20T00:00:00,1984-08-13T00:00:00
אליעזר שוסטק,,,1984-08-13T00:00:00,1988-11-21T00:00:00
יוסף שופמן,,,1955-08-15T00:00:00,1959-11-30T00:00:00
יוסף שופמן,,,1959-11-30T00:00:00,1961-09-04T00:00:00
יוסף שופמן,,,1961-09-04T00:00:00,1965-11-22T00:00:00
יוסף שופמן,,,1965-11-22T00:00:00,1969-11-17T00:00:00
גרשום שוקן,,,1955-08-15T00:00:00,1959-11-30T00:00:00
שמואל שורש,,,1955-08-15T00:00:00,1959-11-30T00:00:00
שמואל שורש,,,1959-11-30T00:00:00,1961-09-04T00:00:00
שמואל שורש,,,1961-09-04T00:00:00,1965-11-22T00:00:00
שמואל שורש,,,1965-11-22T00:00:00,1969-11-17T00:00:00
זלמן שזר,,,1949-02-14T00:00:00,1951-08-20T00:00:00
זלמן שזר,,,1951-08-20T00:00:00,1955-08-15T00:00:00
זלמן שזר,,,1955-08-15T00:00:00,1956-10-08T00:00:00
בנימין שחור,,,1959-11-30T00:00:00,1961-09-04T00:00:00
בנימין שחור,,,1961-09-04T00:00:00,1965-11-22T00:00:00
בנימין שחור,,,1965-11-22T00:00:00,1969-11-17T00:00:00
בנימין שחור,,,1969-11-17T00:00:00,1974-01-21T00:00:00
משה שחל,,,1971-09-01T00:00:00,1974-01-21T00:00:00
משה שחל,,,1974-01-21T00:00:00,1977-06-13T00:00:00
משה שחל,,,1981-07-20T00:00:00,1984-08-13T00:00:00
משה שחל,,,1984-08-13T00:00:00,1988-11-21T00:00:00
משה שחל,,,1988-11-21T00:00:00,1992-07-13T00:00:00
משה שחל,,,1992-07-13T00:00:00,1996-06-17T00:00:00
משה שחל,,,1996-06-17T00:00:00,1998-03-20T00:00:00
שמעון שטרית,,,1988-11-21T00:00:00,1992-07-13T00:00:00
שמעון שטרית,,,1992-07-13T00:00:00,1996-06-17T00:00:00
אברהם שטרן,,,1996-06-17T00:00:00,1997-05-12T00:00:00
מרדכי-חיים שטרן,,,1965-11-22T00:00:00,1969-11-17T00:00:00
בכור-שלום שיטרית,,,1948-05-04T00:00:00,1949-02-14T00:00:00
בכור-שלום שיטרית,,,1949-02-14T00:00:00,1951-08-20T00:00:00
בכור-שלום שיטרית,,,1951-08-20T00:00:00,1955-08-15T00:00:00
בכור-שלום שיטרית,,,1955-08-15T00:00:00,1959-11-30T00:00:00
בכור-שלום שיטרית,,,1959-11-30T00:00:00,1961-09-04T00:00:00
בכור-שלום שיטרית,,,1961-09-04T00:00:00,1965-11-22T00:00:00
בכור-שלום שיטרית,,,1965-11-22T00:00:00,1967-01-28T00:00:00
שבתאי שיכמן,,,1959-11-30T00:00:00,1961-09-04T00:00:00
שבתאי שיכמן,,,1961-09-04T00:00:00,1965-11-22T00:00:00
צבי שילוח,,,1984-03-07T00:00:00,1984-08-13T00:00:00
דב שילנסקי,,,1981-07-20T00:00:00,1984-08-13T00:00:00
דב שילנסקי,,,1984-08-13T00:00:00,1988-11-21T00:00:00
דב שילנסקי,,,1988-11-21T00:00:00,1992-07-13T00:00:00
דב שילנסקי,,,1992-07-13T00:00:00,1996-06-17T00:00:00
פנחס שינמן,,,1974-01-21T00:00:00,1977-06-13T00:00:00
דוד שיפמן,,,1981-07-20T00:00:00,1982-10-18T00:00:00
אברהם שכטרמן,,,1969-11-17T00:00:00,1974-01-21T00:00:00
אברהם שכטרמן,,,1974-01-21T00:00:00,1977-06-13T00:00:00
אפרים שלום,,,1984-08-13T00:00:00,1988-11-21T00:00:00
בני שליטא,,,1981-07-20T00:00:00,1984-08-13T00:00:00
בני שליטא,,,1984-08-13T00:00:00,1988-11-21T00:00:00
ויקטור שם-טוב,,,1961-09-04T00:00:00,1965-11-22T00:00:00
ויקטור שם-טוב,,,1965-11-22T00:00:00,1969-11-17T00:00:00
ויקטור שם-טוב,,,1981-07-20T00:00:00,1984-08-13T00:00:00
ויקטור שם-טוב,,,1984-08-13T00:00:00,1988-03-15T00:00:00
יעקב שמאי,,,1985-02-05T00:00:00,1988-11-21T00:00:00
יעקב שמאי,,,1988-11-21T00:00:00,1992-07-13T00:00:00
יעקב שמאי,,,1992-07-13T00:00:00,1996-06-17T00:00:00
דורון שמואלי,,,1998-11-30T00:00:00,1999-06-07T00:00:00
יהודית שמחונית,,,1949-02-14T00:00:00,1951-02-05T00:00:00
יצחק שמיר,,,1974-01-21T00:00:00,1977-06-13T00:00:00
יצחק שמיר,,,1981-07-20T00:00:00,1984-08-13T00:00:00
יצחק שמיר,,,1984-08-13T00:00:00,1988-11-21T00:00:00
יצחק שמיר,,,1988-11-21T00:00:00,1992-07-13T00:00:00
יצחק שמיר,,,1992-07-13T00:00:00,1996-06-17T00:00:00
חביב שמעוני,,,1974-02-14T00:00:00,1977-06-13T00:00:00
יהודה שערי,,,1961-09-04T00:00:00,1965-11-22T00:00:00
יהודה שערי,,,1965-11-22T00:00:00,1969-11-17T00:00:00
יהודה שערי,,,1969-11-17T00:00:00,1974-01-21T00:00:00
יהודה שערי,,,1974-01-21T00:00:00,1977-06-13T00:00:00
גרשון שפט,,,1984-08-13T00:00:00,1988-11-21T00:00:00
גרשון שפט,,,1990-01-30T00:00:00,1992-07-13T00:00:00
אריה שפטל,,,1949-02-14T00:00:00,1951-02-12T00:00:00
יעקב שפי,,,1992-07-13T00:00:00,1996-06-17T00:00:00
אליהו שפייזר,,,1981-07-20T00:00:00,1984-08-13T00:00:00
אליהו שפייזר,,,1984-08-13T00:00:00,1988-11-21T00:00:00
אברהם שפירא,,,1981-07-20T00:00:00,1984-08-13T00:00:00
אברהם שפירא,,,1984-08-13T00:00:00,1988-11-21T00:00:00
אברהם שפירא,,,1992-07-13T00:00:00,1996-06-17T00:00:00
חיים משה שפירא,,,1948-05-04T00:00:00,1949-02-14T00:00:00
חיים משה שפירא,,,1949-02-14T00:00:00,1951-08-20T00:00:00
חיים משה שפירא,,,1951-08-20T00:00:00,1955-08-15T00:00:00
חיים משה שפירא,,,1955-08-15T00:00:00,1959-11-30T00:00:00
חיים משה שפירא,,,1959-11-30T00:00:00,1961-09-04T00:00:00
חיים משה שפירא,,,1961-09-04T00:00:00,1965-11-22T00:00:00
חיים משה שפירא,,,1965-11-22T00:00:00,1969-11-17T00:00:00
חיים משה שפירא,,,1969-11-17T00:00:00,1970-07-16T00:00:00
יעקב-שמשון שפירא,,,1951-08-20T00:00:00,1955-08-15T00:00:00
יעקב-שמשון שפירא,,,1955-08-15T00:00:00,1955-11-14T00:00:00
יעקב-שמשון שפירא,,,1969-11-17T00:00:00,1974-01-21T00:00:00
זאב שפר,,,1951-08-20T00:00:00,1955-08-15T00:00:00
יאיר שפרינצק,,,1988-11-21T00:00:00,1992-07-13T00:00:00
יוסף שפרינצק,,,1949-02-14T00:00:00,1951-08-20T00:00:00
יוסף שפרינצק,,,1951-08-20T00:00:00,1955-08-15T00:00:00
יוסף שפרינצק,,,1955-08-15T00:00:00,1959-01-28T00:00:00
ראובן שרי,,,1949-02-14T00:00:00,1951-08-20T00:00:00
ראובן שרי,,,1951-08-20T00:00:00,1955-08-15T00:00:00
אברהם שריר,,,1981-07-20T00:00:00,1984-08-13T00:00:00
אברהם שריר,,,1984-08-13T00:00:00,1988-11-21T00:00:00
אברהם שריר,,,1988-11-21T00:00:00,1992-07-13T00:00:00
זאב שרף,,,1965-11-22T00:00:00,1969-11-17T00:00:00
זאב שרף,,,1969-11-17T00:00:00,1974-01-21T00:00:00
אליהו ששון,,,1965-11-22T00:00:00,1969-11-17T00:00:00
אליהו ששון,,,1969-11-17T00:00:00,1974-01-21T00:00:00
בנימין ששון-סילס,,,1951-08-20T00:00:00,1955-08-15T00:00:00
אפרים תבורי,,,1949-02-14T00:00:00,1951-08-20T00:00:00
אפרים תבורי,,,1951-08-20T00:00:00,1955-08-15T00:00:00
דן תיכון,,,1981-07-20T00:00:00,1984-08-13T00:00:00
דן תיכון,,,1984-08-13T00:00:00,1988-11-21T00:00:00
